node1	node2	edge	edge_descrip	layer_descrip
AT4G12610	AT5G58000	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G12610	AT5G58003	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G36930	AT5G09750	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G36930	AT5G67060	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G17690	AT5G67100	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G56290	AT5G62810	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G02860	AT5G41700	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G18400	AT1G25330	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G20010	AT3G50960	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G22260	AT1G67370	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G23420	AT4G27330	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G47550	AT5G03540	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G50030	AT3G08850	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G63020	AT3G22320	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G67580	AT4G28980	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G19670	AT4G25630	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G31300	AT4G14147	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G33540	AT4G12610	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G45190	AT4G27330	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G11820	AT5G61210	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G16270	AT4G28980	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G18910	AT5G03280	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G20600	AT3G25070	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G50330	AT4G36930	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G50950	AT5G26710	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G51970	AT3G62030	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G00180	AT4G27330	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G01710	AT4G14147	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G25160	AT5G64330	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G14270	AT5G63160	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G27600	AT5G56290	4.3342283268535295	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G02140	AT1G11400	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
